restaurant_name,source
".
    Bánh Anh Em","https://www.grubstreet.com/article/best-new-restaurants-nyc-2025.html"
".
    Bartolo","https://www.grubstreet.com/article/best-new-restaurants-nyc-2025.html"
".
    Bong","https://www.grubstreet.com/article/best-new-restaurants-nyc-2025.html"
".
    Ha’s Snack Bar","https://www.grubstreet.com/article/best-new-restaurants-nyc-2025.html"
"Plus: The Best Food We Ate This Year","https://www.grubstreet.com/article/best-new-restaurants-nyc-2025.html"
".
    Kabawa","https://www.grubstreet.com/article/best-new-restaurants-nyc-2025.html"
".
    Le Chêne","https://www.grubstreet.com/article/best-new-restaurants-nyc-2025.html"
".
    Lei","https://www.grubstreet.com/article/best-new-restaurants-nyc-2025.html"
".
    Santi","https://www.grubstreet.com/article/best-new-restaurants-nyc-2025.html"
".
    Sunn’s","https://www.grubstreet.com/article/best-new-restaurants-nyc-2025.html"
".
    The View","https://www.grubstreet.com/article/best-new-restaurants-nyc-2025.html"
"Tags:","https://www.grubstreet.com/article/best-new-restaurants-nyc-2025.html"
"Emily Sundberg Will Probably Need to Reschedule","https://www.grubstreet.com/article/best-new-restaurants-nyc-2025.html"
"The 43 Best Restaurants in New York","https://www.grubstreet.com/article/best-new-restaurants-nyc-2025.html"
"Isaac Mizrahi Can Make a Beautiful Cheese Soufflé","https://www.grubstreet.com/article/best-new-restaurants-nyc-2025.html"
"Ambassadors Clubhouse Opens in New York","https://www.grubstreet.com/article/best-new-restaurants-nyc-2025.html"
"All of Our Restaurant Recommendations, Mapped","https://www.grubstreet.com/article/best-new-restaurants-nyc-2025.html"
"Ten spots that got everything right.","https://www.grubstreet.com/article/best-new-restaurants-nyc-2024.html"
".
    Bridges","https://www.grubstreet.com/article/best-new-restaurants-nyc-2024.html"
".
    Briscola","https://www.grubstreet.com/article/best-new-restaurants-nyc-2024.html"
".
    Carnitas Ramirez","https://www.grubstreet.com/article/best-new-restaurants-nyc-2024.html"
".
    Cocina Consuelo","https://www.grubstreet.com/article/best-new-restaurants-nyc-2024.html"
".
    Joo Ok","https://www.grubstreet.com/article/best-new-restaurants-nyc-2024.html"
".
    Kanyakumari","https://www.grubstreet.com/article/best-new-restaurants-nyc-2024.html"
".
    Le Veau d’Or","https://www.grubstreet.com/article/best-new-restaurants-nyc-2024.html"
".
    Penny","https://www.grubstreet.com/article/best-new-restaurants-nyc-2024.html"
".
    Sawa","https://www.grubstreet.com/article/best-new-restaurants-nyc-2024.html"
".
    Strange Delight","https://www.grubstreet.com/article/best-new-restaurants-nyc-2024.html"
"Tags:","https://www.grubstreet.com/article/best-new-restaurants-nyc-2024.html"
"The Absolute Best New Restaurants of 2024","https://www.grubstreet.com/article/best-new-restaurants-nyc-2024.html"
"21 High Points From a Year of Overeating","https://www.grubstreet.com/article/best-new-restaurants-nyc-2024.html"
"Emily Sundberg Will Probably Need to Reschedule","https://www.grubstreet.com/article/best-new-restaurants-nyc-2024.html"
"The 43 Best Restaurants in New York","https://www.grubstreet.com/article/best-new-restaurants-nyc-2024.html"
"Isaac Mizrahi Can Make a Beautiful Cheese Soufflé","https://www.grubstreet.com/article/best-new-restaurants-nyc-2024.html"
"Ambassadors Clubhouse Opens in New York","https://www.grubstreet.com/article/best-new-restaurants-nyc-2024.html"
"All of Our Restaurant Recommendations, Mapped","https://www.grubstreet.com/article/best-new-restaurants-nyc-2024.html"
"All of Our Picks, Mapped","https://www.grubstreet.com/article/best-new-restaurants-april-2025.html"
"EAT LIKE THE EXPERTS.","https://www.grubstreet.com/article/best-new-restaurants-april-2025.html"
"More New Bars and Restaurants","https://www.grubstreet.com/article/best-new-restaurants-april-2025.html"
"Tags:","https://www.grubstreet.com/article/best-new-restaurants-april-2025.html"
"Liar Liar","https://www.grubstreet.com/article/best-new-restaurants-april-2025.html"
"(Gowanus)","https://www.grubstreet.com/article/best-new-restaurants-april-2025.html"
"Confidant","https://www.grubstreet.com/article/best-new-restaurants-april-2025.html"
"(Industry City)","https://www.grubstreet.com/article/best-new-restaurants-april-2025.html"
"Hildur","https://www.grubstreet.com/article/best-new-restaurants-april-2025.html"
"(Dumbo)","https://www.grubstreet.com/article/best-new-restaurants-april-2025.html"
"Kabawa","https://www.grubstreet.com/article/best-new-restaurants-april-2025.html"
"(East Village)","https://www.grubstreet.com/article/best-new-restaurants-april-2025.html"
"Papparich","https://www.grubstreet.com/article/best-new-restaurants-april-2025.html"
"(Lower East Side)","https://www.grubstreet.com/article/best-new-restaurants-april-2025.html"
"Ambassadors Clubhouse Opens in New York","https://www.grubstreet.com/article/best-new-restaurants-april-2025.html"
"Emily Sundberg Will Probably Need to Reschedule","https://www.grubstreet.com/article/best-new-restaurants-april-2025.html"
"The 43 Best Restaurants in New York","https://www.grubstreet.com/article/best-new-restaurants-april-2025.html"
"Isaac Mizrahi Can Make a Beautiful Cheese Soufflé","https://www.grubstreet.com/article/best-new-restaurants-april-2025.html"
"All of Our Restaurant Recommendations, Mapped","https://www.grubstreet.com/article/best-new-restaurants-april-2025.html"